"filename", "language", "JSON", "Markdown", "JavaScript", "Vue", "HTML", "CSS", "XML", "comment", "blank", "total"
"g:\香哈菜谱\muen\src\views\menu\child\Add_menu.vue", "Vue", 0, 0, 0, 587, 0, 0, 0, 2, 13, 602
"g:\香哈菜谱\muen\src\views\menu\child\U_menu.vue", "Vue", 0, 0, 0, 363, 0, 0, 0, 1, 14, 378
"g:\香哈菜谱\muen\src\views\public\home\Home.vue", "Vue", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"g:\香哈菜谱\muen\src\views\public\type\Type.vue", "Vue", 0, 0, 0, 119, 0, 0, 0, 1, 7, 127
"g:\香哈菜谱\muen\src\views\public\type\child\Food.vue", "Vue", 0, 0, 0, 610, 0, 0, 0, 3, 8, 621
"g:\香哈菜谱\muen\src\views\public\type\child\FoodtypeTable.vue", "Vue", 0, 0, 0, 532, 0, 0, 0, 4, 11, 547
"g:\香哈菜谱\muen\src\views\public\type\child\Label.vue", "Vue", 0, 0, 0, 402, 0, 0, 0, 15, 12, 429
"g:\香哈菜谱\muen\src\views\public\type\child\TypeTable.vue", "Vue", 0, 0, 0, 340, 0, 0, 0, 15, 12, 367
"g:\香哈菜谱\muen\src\views\table\Table.vue", "Vue", 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"g:\香哈菜谱\muen\src\views\user\User.vue", "Vue", 0, 0, 0, 132, 0, 0, 0, 4, 12, 148
"g:\香哈菜谱\muen\vue.config.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 5, 4, 71
"Total", "-", 11806, 15, 604, 3899, 20, 51, 13, 114, 189, 16711
